accuracy : 0.5, loss : 0.11521010100841522, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.4801980198019802, loss : 0.08172913640737534, index : 100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.4956467661691542, loss : 0.1308346539735794, index : 200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.4962624584717608, loss : 0.13692213594913483, index : 300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5015586034912723, loss : 0.05627245083451271, index : 400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5064870259481047, loss : 0.0637596920132637, index : 500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.51622296173045, loss : 0.10747100412845612, index : 600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5180099857346656, loss : 0.13515177369117737, index : 700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5221598002496889, loss : 0.024490047246217728, index : 800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5264983351831304, loss : 0.11247250437736511, index : 900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5310939060939064, loss : 0.007005786523222923, index : 1000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.53894187102634, loss : 0.2085043489933014, index : 1100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5401748542880938, loss : 0.13577158749103546, index : 1200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5433320522674869, loss : 0.09560982882976532, index : 1300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5427373304782307, loss : 0.10992885380983353, index : 1400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5429713524317126, loss : 0.1106875017285347, index : 1500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

